instrumento,nome_original,natureza,situacao_cadastro,situacao_operacional,situacao_hga_ultima,data_atualizacao_cadastro,localidade,x,y,profundidade_m,fonte_recente,leituras,primeira,ultima,dias_sem_leitura,cadencia_mediana_dias,recebimento,repeticao_final_n,repeticao_final_dias,repeticao_no_fundo,zero_auto_persistente,outliers_fortes,datas_futuras,na_negativo,inconsistencia_cota,janela_qaqc_dias,ptr_mais_proximo,dist_ptr_m,status_qaqc,score,motivos
30LI012 ,INA_JM_74/1130-INA-074,INA,Ativo,Ativo,Ativo,2020-10-21,Joao Manoel,655811.410000009,7768865.84999946,240.0,Manual,91,2011-07-12,2026-08-07,21.0,17.0,RECEBENDO,0,0,False,False,0,0,0,0,180,G00-11PTR014,781.8643752364923,OK,0,Sem sinais automáticos relevantes
30LI013,INA_JM_90/1130-INA-090,INA,Ativo,Ativo,Ativo,2020-10-21,Joao Manoel,656712.350000017,7768944.02999946,48.0,Automático,229,2016-04-25,2026-08-27,1.0,1.0,RECEBENDO,0,0,False,False,0,0,0,0,90,G00-11PTR009,110.67697367656653,OK,0,Sem sinais automáticos relevantes
30LI016,INA_JM_95/1130-INA-095,INA,Ativo,Ativo,Ativo,2020-10-21,Joao Manoel,655581.130000012,7768842.32999947,116.5,Manual,56,2013-09-04,2026-08-07,21.0,19.0,RECEBENDO,0,0,False,False,0,0,0,0,180,G00-11PTR014,997.2373566746649,OK,0,Sem sinais automáticos relevantes
30PI026,INA_JM_94/1130-INA-094,INA,Ativo,Ativo,Ativo,2020-10-21,Joao Manoel,655816.040000011,7768780.73999947,79.3,Manual,54,2013-08-26,2026-07-02,57.0,17.0,RECEBENDO,0,0,False,False,0,0,0,0,180,G00-11PTR014,824.2402859706,OK,0,Sem sinais automáticos relevantes
31LI200,INA_PS_125/0029-INA-125,INA,Ativo,Ativo,Ativo,2020-10-21,PDER Alegria Sul,656155.599000019,7765811.6609992,7.6,Manual,19,2016-10-20,2026-08-27,1.0,15.0,RECEBENDO,0,0,False,False,0,0,0,0,180,G00-11PTR005,946.2567842697048,OK,0,Sem sinais automáticos relevantes
31LI201,INA_PS_124/0029-INA-124,INA,Ativo,Ativo,Ativo,2020-10-21,PDER Alegria Sul,656135.329000027,7765783.8569992,16.75,Manual,18,2016-10-20,2026-08-27,1.0,15.0,RECEBENDO,0,0,False,False,0,0,0,0,180,G00-11PTR005,963.9098664321574,OK,0,Sem sinais automáticos relevantes
31LI202,INA_PS_126/0029-INA-126,INA,Ativo,Ativo,Ativo,2020-10-21,PDER Alegria Sul,656199.431000017,7765775.7209992,18.5,Manual,17,2016-10-20,2026-08-27,1.0,15.5,RECEBENDO,0,0,False,False,0,0,0,0,180,G00-11PTR016,982.1848858316737,OK,0,Sem sinais automáticos relevantes
Cota-NA-Rejeito,,Ponto Monitoramento,Ativo,Ativo,Ativo,2021-10-07,Alegria Sul,655281.304000082,7764723.91799707,,Automático,1904,2021-05-19,2026-08-27,1.0,1.0,RECEBENDO,0,0,False,False,0,0,0,0,90,G00-11PTR020,501.8660751962442,OK,0,Sem sinais automáticos relevantes
G00-11PTR005,PTR_S_05,Poco Tubular,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655771.780000012,7766676.57999946,200.0,Automático,2918,2019-06-01,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR005,0.0,OK,0,Sem sinais automáticos relevantes
G00-11PTR008,PTR_S_08,Poco Tubular,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655401.000000013,7766856.52999947,200.0,Automático,2536,2019-06-27,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,0.0,OK,0,Sem sinais automáticos relevantes
G00-11PTR013,PTR_N_13,Poco Tubular,Ativo,Ativo,Ativo,,Alegria Norte,657117.170000041,7769745.28799866,287.0,Automático,870,2023-11-22,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR013,0.0,OK,0,Sem sinais automáticos relevantes
G00-11PTR015,G00-11PTR015,Poco Tubular,Ativo,Ativo,Ativo,,Alegria Norte,656631.870000065,7769280.9169976,264.0,Automático,623,2024-09-19,2026-08-25,3.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR015,0.0,OK,0,Sem sinais automáticos relevantes
G00-11PTR016,G00-11PTR016,Poco Tubular,Ativo,Ativo,Ativo,,Alegria Sul,655950.49600006,7764825.60599787,304.0,Automático,605,2024-11-09,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR016,0.0,OK,0,Sem sinais automáticos relevantes
G00-11PTR018,G00-11PTR018,Poco Tubular,Ativo,Ativo,Ativo,,Alegria Norte,657222.05200005,7769730.05199814,269.5,Automático,472,2025-01-20,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR018,0.0,OK,0,Sem sinais automáticos relevantes
G00-11PTR019,G00-11PTR019,Poco Tubular,Ativo,Ativo,Ativo,,Alegria Norte,657272.700000038,7769871.05999866,293.0,Automático,565,2025-01-20,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR019,0.0,OK,0,Sem sinais automáticos relevantes
