inst_id,x,y,localidade,tipo,anos,n,taxa,p,significativo,bombeamento
0027-INA-022,656464.870000015,7769450.95599946,Alegria Norte,INA,9.1,1766,-0.9990873200208413,0.001300238339692936,True,False
0027-INA-052,655228.853000002,7769362.58799973,Alegria Norte,INA,10.0,1809,-0.8193073987732536,2.5464882647497817e-21,True,False
1226-INA-029,657373.281000003,7765484.68999973,Cava Germano,INA,10.0,1916,-0.6303432812946476,0.4217805445179446,False,False
0027-INA-115,656280.378,7770252.23699973,Alegria Norte,INA,9.8,219,-0.5779901664145254,1.0121925740856191e-22,True,False
0027-INA-042,657158.759000032,7768982.71499894,Alegria Norte,INA,9.9,1363,-0.13336360904729702,1.0748354280850097e-05,True,False
0029-INA-133,656076.604000021,7767422.7349992,Alegria Sul,INA,9.2,1973,-0.09693596576195777,0.46319830790081135,False,False
0029-INA-102,655959.337000003,7765391.86899973,Alegria Sul,INA,9.9,1562,-0.03135203533064821,0.3444537141708199,False,False
0029-INA-109,654780.060000008,7765009.88899973,Alegria Sul,INA,9.8,58,-0.019409971866190534,0.03107624531752879,True,False
0029-INA-110,654834.343000001,7765244.48799973,Alegria Sul,INA,9.8,82,-0.019123036649197272,0.007047375458547,True,False
G00-11PTR009,656717.650000015,7769054.57999947,Alegria Norte,Poco Tubular,8.1,894,0.0,0.2279372991097776,False,True
G00-11PTR011,657019.870000018,7769531.24999947,Alegria Norte,Poco Tubular,8.1,927,0.0,0.1591523660563691,False,True
G00-11PTR012,656726.800000018,7769323.81999947,Alegria Norte,Poco Tubular,8.2,950,0.0,0.293159767941385,False,True
G00-11PTR010,656911.520000008,7769278.80999947,Alegria Norte,Poco Tubular,8.2,996,0.0,0.7985963425290267,False,True
0029-INA-134,655963.152000024,7767293.2089992,Alegria Sul,INA,9.2,1859,0.0064333098772531155,0.8362869326367369,False,False
0029-INA-111,654834.343000001,7765244.48799973,Alegria Sul,INA,9.8,79,0.007258545310009297,7.677613854015082e-10,True,False
0029-INA-132,656275.16300002,7767688.41699921,Alegria Sul,INA,9.2,1803,0.01015958904778229,0.917706926736016,False,False
0029-INA-036,655777.52200001,7767304.92999973,Alegria Sul,INA,10.0,2059,0.04003956152501114,0.36322397114212635,False,False
0029-INA-127,656070.505000007,7765969.43899973,Alegria Sul,INA,9.8,226,0.11794400549639983,0.005487531768162743,True,False
0028-INA-086,654798.060000003,7767560.48699973,Alegria Centro,INA,10.0,1608,0.14692578827637334,1.2284251651305573e-06,True,False
